teacher step 1, episodes finished 0/200
teacher step 2, episodes finished 0/200
teacher step 3, episodes finished 0/200
teacher step 4, episodes finished 0/200
teacher step 5, episodes finished 0/200
teacher step 6, episodes finished 0/200
teacher step 7, episodes finished 0/200
teacher step 8, episodes finished 0/200
teacher step 9, episodes finished 0/200
teacher step 10, episodes finished 0/200
teacher step 11, episodes finished 0/200
teacher step 12, episodes finished 0/200
teacher step 13, episodes finished 0/200
teacher step 14, episodes finished 0/200
teacher step 15, episodes finished 0/200
teacher step 16, episodes finished 0/200
teacher step 17, episodes finished 0/200
teacher step 18, episodes finished 0/200
teacher step 19, episodes finished 0/200
teacher step 20, episodes finished 0/200
teacher step 21, episodes finished 0/200
teacher step 22, episodes finished 0/200
teacher step 23, episodes finished 0/200
teacher step 24, episodes finished 0/200
teacher step 25, episodes finished 0/200
/home/connor-finnerty/Documents/projects/nv-sensing-sim/src/nvsim/estimators/policy.py:126: RuntimeWarning: divide by zero encountered in log
  logp = (np.log(self.p[idx]) + counts[idx, None]
teacher step 26, episodes finished 0/200
teacher step 27, episodes finished 0/200
teacher step 28, episodes finished 0/200
teacher step 29, episodes finished 0/200
teacher step 30, episodes finished 0/200
teacher step 31, episodes finished 0/200
teacher step 32, episodes finished 0/200
teacher step 33, episodes finished 0/200
teacher step 34, episodes finished 0/200
teacher step 35, episodes finished 0/200
teacher step 36, episodes finished 0/200
teacher step 37, episodes finished 0/200
teacher step 38, episodes finished 0/200
teacher step 39, episodes finished 0/200
teacher step 40, episodes finished 0/200
teacher step 41, episodes finished 0/200
teacher step 42, episodes finished 0/200
teacher step 43, episodes finished 0/200
teacher step 44, episodes finished 0/200
teacher step 45, episodes finished 0/200
teacher step 46, episodes finished 0/200
teacher step 47, episodes finished 0/200
teacher step 48, episodes finished 0/200
teacher step 49, episodes finished 0/200
teacher step 50, episodes finished 0/200
teacher step 51, episodes finished 0/200
teacher step 52, episodes finished 0/200
teacher step 53, episodes finished 0/200
teacher step 54, episodes finished 0/200
teacher step 55, episodes finished 0/200
teacher step 56, episodes finished 0/200
teacher step 57, episodes finished 0/200
teacher step 58, episodes finished 0/200
teacher step 59, episodes finished 0/200
teacher step 60, episodes finished 0/200
teacher step 61, episodes finished 0/200
teacher step 62, episodes finished 0/200
teacher step 63, episodes finished 0/200
teacher step 64, episodes finished 0/200
teacher step 65, episodes finished 0/200
teacher step 66, episodes finished 0/200
teacher step 67, episodes finished 0/200
teacher step 68, episodes finished 0/200
teacher step 69, episodes finished 0/200
teacher step 70, episodes finished 0/200
teacher step 71, episodes finished 0/200
teacher step 72, episodes finished 0/200
teacher step 73, episodes finished 0/200
teacher step 74, episodes finished 0/200
teacher step 75, episodes finished 0/200
teacher step 76, episodes finished 0/200
teacher step 77, episodes finished 0/200
teacher step 78, episodes finished 0/200
teacher step 79, episodes finished 0/200
teacher step 80, episodes finished 0/200
teacher step 81, episodes finished 0/200
teacher step 82, episodes finished 0/200
teacher step 83, episodes finished 0/200
teacher step 84, episodes finished 0/200
teacher step 85, episodes finished 0/200
teacher step 86, episodes finished 0/200
teacher step 87, episodes finished 0/200
teacher step 88, episodes finished 0/200
teacher step 89, episodes finished 0/200
teacher step 90, episodes finished 0/200
teacher step 91, episodes finished 0/200
teacher step 92, episodes finished 0/200
teacher step 93, episodes finished 0/200
teacher step 94, episodes finished 0/200
teacher step 95, episodes finished 0/200
teacher step 96, episodes finished 0/200
teacher step 97, episodes finished 0/200
teacher step 98, episodes finished 0/200
teacher step 99, episodes finished 0/200
teacher step 100, episodes finished 0/200
teacher step 101, episodes finished 0/200
teacher step 102, episodes finished 0/200
teacher step 103, episodes finished 0/200
teacher step 104, episodes finished 0/200
teacher step 105, episodes finished 0/200
teacher step 106, episodes finished 0/200
teacher step 107, episodes finished 0/200
teacher step 108, episodes finished 0/200
teacher step 109, episodes finished 0/200
teacher step 110, episodes finished 0/200
teacher step 111, episodes finished 0/200
teacher step 112, episodes finished 0/200
teacher step 113, episodes finished 0/200
teacher step 114, episodes finished 0/200
teacher step 115, episodes finished 0/200
teacher step 116, episodes finished 0/200
teacher step 117, episodes finished 0/200
teacher step 118, episodes finished 0/200
teacher step 119, episodes finished 0/200
teacher step 120, episodes finished 0/200
teacher step 121, episodes finished 0/200
teacher step 122, episodes finished 0/200
teacher step 123, episodes finished 0/200
teacher step 124, episodes finished 0/200
teacher step 125, episodes finished 0/200
teacher step 126, episodes finished 0/200
teacher step 127, episodes finished 0/200
teacher step 128, episodes finished 0/200
teacher step 129, episodes finished 0/200
teacher step 130, episodes finished 0/200
teacher step 131, episodes finished 0/200
teacher step 132, episodes finished 0/200
teacher step 133, episodes finished 0/200
teacher step 134, episodes finished 0/200
teacher step 135, episodes finished 0/200
teacher step 136, episodes finished 0/200
teacher step 137, episodes finished 0/200
teacher step 138, episodes finished 0/200
teacher step 139, episodes finished 0/200
teacher step 140, episodes finished 0/200
teacher step 141, episodes finished 0/200
teacher step 142, episodes finished 0/200
teacher step 143, episodes finished 0/200
teacher step 144, episodes finished 0/200
teacher step 145, episodes finished 0/200
teacher step 146, episodes finished 0/200
teacher step 147, episodes finished 0/200
teacher step 148, episodes finished 0/200
teacher step 149, episodes finished 0/200
teacher step 150, episodes finished 0/200
teacher step 151, episodes finished 0/200
teacher step 152, episodes finished 0/200
teacher step 153, episodes finished 0/200
teacher step 154, episodes finished 0/200
teacher step 155, episodes finished 0/200
teacher step 156, episodes finished 0/200
teacher step 157, episodes finished 0/200
teacher step 158, episodes finished 0/200
teacher step 159, episodes finished 0/200
teacher step 160, episodes finished 0/200
teacher step 161, episodes finished 0/200
teacher step 162, episodes finished 0/200
teacher step 163, episodes finished 0/200
teacher step 164, episodes finished 0/200
teacher step 165, episodes finished 0/200
teacher step 166, episodes finished 0/200
teacher step 167, episodes finished 0/200
teacher step 168, episodes finished 1/200
